,CPI_t
01/01/2006,203.2
01/02/2006,203.6
01/03/2006,204.3
01/04/2006,204.8
01/05/2006,205.4
01/06/2006,205.9
01/07/2006,206.3
01/08/2006,206.8
01/09/2006,207.2
01/10/2006,207.6
01/11/2006,207.8
01/12/2006,208.1
01/01/2007,208.6
01/02/2007,209.135
01/03/2007,209.418
01/04/2007,209.747
01/05/2007,210.058
01/06/2007,210.392
01/07/2007,210.773
01/08/2007,211.119
01/09/2007,211.554
01/10/2007,212.077
01/11/2007,212.66
01/12/2007,213.168
01/01/2008,213.771
01/02/2008,213.939
01/03/2008,214.42
01/04/2008,214.56
01/05/2008,214.936
01/06/2008,215.424
01/07/2008,215.965
01/08/2008,216.393
01/09/2008,216.713
01/10/2008,216.788
01/11/2008,216.947
01/12/2008,216.925
01/01/2009,217.346
01/02/2009,217.792
01/03/2009,218.253
01/04/2009,218.706
01/05/2009,218.904
01/06/2009,219.112
01/07/2009,219.263
01/08/2009,219.496
01/09/2009,219.92
01/10/2009,220.501
01/11/2009,220.666
01/12/2009,220.881
01/01/2010,220.633
01/02/2010,220.731
01/03/2010,220.783
01/04/2010,220.822
01/05/2010,220.962
01/06/2010,221.194
01/07/2010,221.363
01/08/2010,221.509
01/09/2010,221.711
01/10/2010,221.83
01/11/2010,222.149
01/12/2010,222.343
01/01/2011,222.803
01/02/2011,223.213
01/03/2011,223.454
01/04/2011,223.727
01/05/2011,224.175
01/06/2011,224.697
01/07/2011,225.218
01/08/2011,225.862
01/09/2011,226.118
01/10/2011,226.506
01/11/2011,226.899
01/12/2011,227.405
01/01/2012,227.877
01/02/2012,228.034
01/03/2012,228.478
01/04/2012,228.905
01/05/2012,229.224
01/06/2012,229.623
01/07/2012,229.97
01/08/2012,230.233
01/09/2012,230.659
01/10/2012,231.024
01/11/2012,231.33
01/12/2012,231.725
01/01/2013,232.229
01/02/2013,232.569
01/03/2013,232.794
01/04/2013,232.832
01/05/2013,232.996
01/06/2013,233.35
01/07/2013,233.88
01/08/2013,234.336
01/09/2013,234.7
01/10/2013,234.921
01/11/2013,235.359
01/12/2013,235.759
01/01/2014,235.961
01/02/2014,236.185
01/03/2014,236.625
01/04/2014,237.072
01/05/2014,237.529
01/06/2014,237.837
01/07/2014,238.195
01/08/2014,238.405
01/09/2014,238.786
01/10/2014,239.191
01/11/2014,239.458
01/12/2014,239.584
01/01/2015,239.811
01/02/2015,240.172
01/03/2015,240.755
01/04/2015,241.346
01/05/2015,241.688
01/06/2015,242.064
01/07/2015,242.565
01/08/2015,242.817
01/09/2015,243.316
01/10/2015,243.768
01/11/2015,244.241
01/12/2015,244.547
01/01/2016,244.955
01/02/2016,245.51
01/03/2016,245.913
01/04/2016,246.551
01/05/2016,247.137
01/06/2016,247.54
01/07/2016,247.829
01/08/2016,248.423
01/09/2016,248.842
01/10/2016,249.142
01/11/2016,249.481
01/12/2016,249.92
01/01/2017,250.467
01/02/2017,250.998
01/03/2017,250.944
01/04/2017,251.227
01/05/2017,251.43
01/06/2017,251.746
01/07/2017,251.985
01/08/2017,252.535
01/09/2017,252.812
01/10/2017,253.526
